id,date,lon,lat,area,length,weight,age,sex,maturity,stomach.volume,stomach.weight,year
21028,2007-06-13T12:00:00Z,-22.0666666666667,63.8166666666667,South,800,NA,26.7,Male,mature,30,2.88,2007
21029,2007-06-13T16:00:00Z,-22.105,63.8133333333333,South,779,NA,25.3,Male,mature,160,7.77,2007
21030,2007-06-18T11:00:00Z,-22.1166666666667,63.81,South,741,NA,22.4,Male,mature,50,0,2007
21031,2007-06-19T16:00:00Z,-22.3133333333333,63.815,South,785,NA,27.7,Male,mature,110,106.25,2007
21032,2007-06-20T09:00:00Z,-22.3033333333333,63.8116666666667,South,810,NA,33.4,Male,mature,100,17.21,2007
21033,2007-06-05T17:00:00Z,-22.785,66.0838333333333,North,845,NA,29,Female,pregnant,80,10.15,2007
21034,2007-05-15T09:00:00Z,-22.8016666666667,66.0933333333333,North,622,NA,11.2,Female,immature,40,48.46,2007
21035,2007-06-07T14:00:00Z,-20.865,65.7416666666667,North,775,NA,17.4,Female,pregnant,85,88.5416666666667,2007
21037,2007-06-09T07:00:00Z,-20.9433333333333,66.37,North,809,NA,16.7,Female,pregnant,74,23.704,2007
21039,2007-06-09T15:00:00Z,-21.16,65.68,North,755,NA,21.2,Female,pregnant,85,11.94,2007
21040,2007-06-11T10:00:00Z,-19.64,66.0633333333333,North,833,NA,39.9,Female,pregnant,30,2.23,2007
21043,2007-06-12T17:00:00Z,-19.5983333333333,65.865,North,792,NA,17.8,Female,pregnant,37,4.52,2007
21045,2007-06-13T17:00:00Z,-19.1516666666667,66.3016666666667,North,758,NA,18.5,Female,pregnant,57,17.364,2007
21047,2007-06-17T14:00:00Z,-16.5433333333333,66.2098333333333,North,790,NA,26.1,Female,pregnant,75,12.896,2007
21049,2007-06-18T17:00:00Z,-16.569,66.2506666666667,North,806,NA,24.5,Female,pregnant,80,12.01,2007
21052,2007-05-24T12:00:00Z,-13.4616666666667,65.2066666666667,North,840,NA,NA,Female,pregnant,75,2.757,2007
21053,2007-05-21T16:00:00Z,-13.54,65.1866666666667,North,704,NA,8.1,Female,immature,50,13.078,2007
21054,2007-05-15T20:00:00Z,-15.9666666666667,64.0883333333333,South,773,NA,13.9,Female,pregnant,33,14.4516017316017,2007
21055,2007-08-26T15:00:00Z,-22.8033333333333,65.985,North,717,4062,NA,Female,pregnant,50,34.65,2007
21057,2007-04-27T16:00:00Z,-21.4933333333333,65.665,North,735,3361,10,Female,pregnant,50,26.85,2007
21058,2007-04-28T15:00:00Z,-20.995,65.4548333333333,North,814,4520,20.2,Female,pregnant,110,3.75,2007
21063,2007-08-27T15:00:00Z,-22.8033333333333,65.985,North,682,4165,11.2,Female,pregnant,3,0.188,2007
21065,2007-08-28T18:00:00Z,-21.945,66.2733333333333,North,840,5301,27.5,Female,pregnant,23,0.8,2007
21066,2007-08-29T13:00:00Z,-21.9183333333333,66.2883333333333,North,838,5685,22.6,Female,pregnant,130,19.7,2007
21068,2007-09-02T16:00:00Z,-23.5283333333333,64.6983333333333,South,731,4358,16.3,Male,mature,70,17.845,2007
21069,2007-05-09T10:00:00Z,-22.3786666666667,64.3011666666667,South,803,NA,21.3,Male,mature,15,11.64,2007
21070,2007-05-14T20:00:00Z,-22.6476666666667,64.282,South,701,NA,14.9,Male,mature,12.5,16.58,2007
21072,2007-05-15T16:00:00Z,-23.0976666666667,64.234,South,802,NA,32.9,Male,mature,10,0,2007
